epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,22737.3,0.21486,0.21608,0.84548,0.99868,1,0.995,0.97968,0.30539,0.19564,0.90077,0.0008516,0.0008516,0.0008516
60,23120.3,0.21002,0.21119,0.84819,0.9988,1,0.995,0.98091,0.24278,0.1816,0.84622,0.0008318,0.0008318,0.0008318
61,23494.8,0.2134,0.20323,0.8455,0.99477,1,0.995,0.97471,0.33519,0.18922,0.9755,0.000812,0.000812,0.000812
62,23873.2,0.20361,0.19945,0.85003,0.9983,1,0.995,0.97672,0.31169,0.19047,0.93086,0.0007922,0.0007922,0.0007922
63,24256.1,0.21258,0.20447,0.84796,0.99882,1,0.995,0.97333,0.29327,0.2142,0.91077,0.0007724,0.0007724,0.0007724
64,24619.5,0.19764,0.19612,0.84198,0.99686,1,0.995,0.97026,0.28213,0.18555,0.87871,0.0007526,0.0007526,0.0007526
65,24990.3,0.19607,0.19136,0.84178,0.99895,1,0.995,0.9816,0.2681,0.17695,0.85885,0.0007328,0.0007328,0.0007328
66,25403.6,0.19702,0.19071,0.84762,0.99896,1,0.995,0.97342,0.27982,0.20403,0.84883,0.000713,0.000713,0.000713
67,25804,0.19307,0.18502,0.83267,0.99891,1,0.995,0.97532,0.27504,0.17913,0.8627,0.0006932,0.0006932,0.0006932
68,26232.2,0.19106,0.18686,0.84596,0.99914,1,0.995,0.97324,0.2676,0.17261,0.85429,0.0006734,0.0006734,0.0006734
69,26707.8,0.18928,0.18545,0.84327,0.99885,1,0.995,0.98038,0.22193,0.17305,0.81384,0.0006536,0.0006536,0.0006536
70,27187.3,0.1831,0.17715,0.84118,0.99892,1,0.995,0.97706,0.26054,0.1587,0.86108,0.0006338,0.0006338,0.0006338
71,27703.8,0.19486,0.19021,0.84274,0.99887,1,0.995,0.97741,0.24641,0.16318,0.85136,0.000614,0.000614,0.000614
72,28203.1,0.1875,0.17852,0.83862,0.99886,1,0.995,0.9803,0.29709,0.18052,0.8745,0.0005942,0.0005942,0.0005942
73,28667.3,0.19541,0.18005,0.84479,0.99896,1,0.995,0.97745,0.28776,0.17112,0.87668,0.0005744,0.0005744,0.0005744
74,29093.9,0.18442,0.1735,0.84511,0.99894,1,0.995,0.98156,0.27516,0.17666,0.89046,0.0005546,0.0005546,0.0005546
75,29502.1,0.17828,0.18359,0.84012,0.99871,1,0.995,0.97411,0.29863,0.17894,0.93684,0.0005348,0.0005348,0.0005348
76,29917.1,0.17772,0.17704,0.83814,0.99904,1,0.995,0.97291,0.28365,0.16337,0.89136,0.000515,0.000515,0.000515
77,30332,0.17879,0.17355,0.84687,0.99903,1,0.995,0.97165,0.27327,0.1594,0.86864,0.0004952,0.0004952,0.0004952
78,30747.7,0.17492,0.17137,0.8397,0.99901,1,0.995,0.9775,0.25855,0.15206,0.87923,0.0004754,0.0004754,0.0004754
79,31160.8,0.17168,0.16681,0.84206,0.99896,1,0.995,0.97868,0.25631,0.1545,0.86006,0.0004556,0.0004556,0.0004556
80,31580.1,0.16564,0.1637,0.8352,0.99889,1,0.995,0.97808,0.25651,0.13876,0.87282,0.0004358,0.0004358,0.0004358
81,32001.1,0.16513,0.16259,0.83649,0.99892,1,0.995,0.97898,0.22991,0.1446,0.83392,0.000416,0.000416,0.000416
82,32419.1,0.16268,0.15551,0.83725,0.99894,1,0.995,0.98281,0.22032,0.14363,0.81514,0.0003962,0.0003962,0.0003962
83,32840.1,0.16848,0.16054,0.83976,0.99891,1,0.995,0.98084,0.23373,0.1487,0.82229,0.0003764,0.0003764,0.0003764
84,33271.2,0.1661,0.16366,0.83938,0.99832,1,0.995,0.98204,0.22432,0.17774,0.81933,0.0003566,0.0003566,0.0003566
85,35724.3,0.1607,0.15605,0.83492,0.99893,1,0.995,0.98197,0.22301,0.16129,0.8212,0.0003368,0.0003368,0.0003368
86,36140.1,0.15921,0.1599,0.83898,0.99893,1,0.995,0.98535,0.20346,0.14716,0.80849,0.000317,0.000317,0.000317
87,36503.8,0.16562,0.16632,0.84457,0.99889,1,0.995,0.97962,0.24257,0.16244,0.84541,0.0002972,0.0002972,0.0002972
88,36869.2,0.15202,0.15171,0.83865,0.99898,1,0.995,0.97896,0.25154,0.15304,0.87094,0.0002774,0.0002774,0.0002774
89,37231.7,0.15572,0.14984,0.83761,0.99865,1,0.995,0.98299,0.20371,0.1414,0.80936,0.0002576,0.0002576,0.0002576
90,37575.8,0.15743,0.15222,0.83691,0.99881,1,0.995,0.98208,0.21218,0.1557,0.82355,0.0002378,0.0002378,0.0002378
91,37914.5,0.11596,0.10709,0.78002,0.99891,1,0.995,0.97975,0.22969,0.16096,0.82947,0.000218,0.000218,0.000218
92,38251.3,0.12324,0.11538,0.77988,0.99891,1,0.995,0.98143,0.23184,0.15237,0.84098,0.0001982,0.0001982,0.0001982
93,38590.2,0.11347,0.10608,0.77848,0.99896,1,0.995,0.97682,0.22125,0.15557,0.84327,0.0001784,0.0001784,0.0001784
94,38929.7,0.11219,0.10345,0.77202,0.99894,1,0.995,0.97997,0.22659,0.14635,0.85371,0.0001586,0.0001586,0.0001586
95,39267.9,0.11285,0.10328,0.77153,0.99896,1,0.995,0.98386,0.22011,0.15166,0.84001,0.0001388,0.0001388,0.0001388
96,39609.3,0.10805,0.09888,0.77984,0.99897,1,0.995,0.98353,0.21336,0.15239,0.83138,0.000119,0.000119,0.000119
97,39968.2,0.10587,0.09953,0.77174,0.99896,1,0.995,0.98146,0.22425,0.15204,0.8517,9.92e-05,9.92e-05,9.92e-05
98,40305.9,0.10386,0.09617,0.78318,0.99899,1,0.995,0.98395,0.22172,0.15404,0.8331,7.94e-05,7.94e-05,7.94e-05
99,40644.5,0.10306,0.09683,0.77475,0.999,1,0.995,0.98418,0.21774,0.15142,0.83395,5.96e-05,5.96e-05,5.96e-05
100,40981.7,0.10045,0.0951,0.78082,0.999,1,0.995,0.98418,0.22232,0.14997,0.83953,3.98e-05,3.98e-05,3.98e-05
